old_samp_name	new_samp_name
RP-2140.SEN_DI_003.2018	SEN_SES_2018_003
RP-2140.SEN_DI_106.2018	SEN_SES_2018_106
RP-2140.SEN_DI_114.2018	SEN_SES_2018_114
RP-2140.SEN_DI_115.2018	SEN_SES_2018_115
RP-2140.SEN_DI_129.2018	SEN_SES_2018_129
RP-2140.SEN_DI_149.2018	SEN_SES_2018_149
RP-2140.Sen.Th.001.08	SEN_SLP_2008_001
RP-2140.Sen.Th.001.10	SEN_SLP_2010_001
RP-2140.Sen.Th.001.14	SEN_SLP_2014_001
RP-2140.Sen.Th.002.08	SEN_SLP_2008_002
RP-2140.Sen.Th.003.06	SEN_SLP_2006_003
RP-2140.Sen.Th.003.10	SEN_SLP_2010_003
RP-2140.Sen.Th.003.14	SEN_SLP_2014_003
RP-2140.Sen.Th.003.16	SEN_SLP_2016_003
RP-2140.Sen.Th.004.06	SEN_SLP_2006_004
RP-2140.Sen.Th.004.10	SEN_SLP_2010_004
RP-2140.Sen.Th.004.16	SEN_SLP_2016_004
RP-2140.Sen.Th.005.10	SEN_SLP_2010_005
RP-2140.Sen.Th.005.16	SEN_SLP_2016_005
RP-2140.Sen.Th.006.06	SEN_SLP_2006_006
RP-2140.Sen.Th.006.10	SEN_SLP_2010_006
RP-2140.Sen.Th.006.16	SEN_SLP_2016_006
RP-2140.Sen.Th.007.10	SEN_SLP_2010_007
RP-2140.Sen.Th.008.10	SEN_SLP_2010_008
RP-2140.Sen.Th.009.10	SEN_SLP_2010_009
RP-2140.Sen.Th.010.06	SEN_SLP_2006_010
RP-2140.Sen.Th.010.10	SEN_SLP_2010_010
RP-2140.Sen.Th.010.14	SEN_SLP_2014_010
RP-2140.Sen.Th.010.16	SEN_SLP_2016_010
RP-2140.Sen.Th.011.14	SEN_SLP_2014_011
RP-2140.Sen.Th.011.16	SEN_SLP_2016_011
RP-2140.Sen.Th.013.16	SEN_SLP_2016_013
RP-2140.Sen.Th.015.06	SEN_SLP_2006_015
RP-2140.Sen.Th.015.14	SEN_SLP_2014_015
RP-2140.Sen.Th.016.06	SEN_SLP_2006_016
RP-2140.Sen.Th.016.10	SEN_SLP_2010_016
RP-2140.Sen.Th.016.12	SEN_SLP_2012_016
RP-2140.Sen.Th.017.10	SEN_SLP_2010_017
RP-2140.Sen.Th.018.06	SEN_SLP_2006_018
RP-2140.Sen.Th.018.14	SEN_SLP_2014_018
RP-2140.Sen.Th.019.14	SEN_SLP_2014_019
RP-2140.Sen.Th.020.06	SEN_SLP_2006_020
RP-2140.Sen.Th.021.12	SEN_SLP_2012_021
RP-2140.Sen.Th.022.08	SEN_SLP_2008_022
RP-2140.Sen.Th.022.10	SEN_SLP_2010_022
RP-2140.Sen.Th.022.12	SEN_SLP_2012_022
RP-2140.Sen.Th.023.06	SEN_SLP_2006_023
RP-2140.Sen.Th.023.10	SEN_SLP_2010_023
RP-2140.Sen.Th.023.12	SEN_SLP_2012_023
RP-2140.Sen.Th.024.10	SEN_SLP_2010_024
RP-2140.Sen.Th.024.12	SEN_SLP_2012_024
RP-2140.Sen.Th.026.10	SEN_SLP_2010_026
RP-2140.Sen.Th.027.14	SEN_SLP_2014_027
RP-2140.Sen.Th.028.06	SEN_SLP_2006_028
RP-2140.Sen.Th.028.10	SEN_SLP_2010_028
RP-2140.Sen.Th.029.06	SEN_SLP_2006_029
RP-2140.Sen.Th.029.10	SEN_SLP_2010_029
RP-2140.Sen.Th.029.12	SEN_SLP_2012_029
RP-2140.Sen.Th.030.10	SEN_SLP_2010_030
RP-2140.Sen.Th.031.06	SEN_SLP_2006_031
RP-2140.Sen.Th.033.08	SEN_SLP_2008_033
RP-2140.Sen.Th.035.08	SEN_SLP_2008_035
RP-2140.Sen.Th.036.06	SEN_SLP_2006_036
RP-2140.Sen.Th.036.14	SEN_SLP_2014_036
RP-2140.Sen.Th.037.06	SEN_SLP_2006_037
RP-2140.Sen.Th.038.06	SEN_SLP_2006_038
RP-2140.Sen.Th.038.10	SEN_SLP_2010_038
RP-2140.Sen.Th.038.12	SEN_SLP_2012_038
RP-2140.Sen.Th.038.14	SEN_SLP_2014_038
RP-2140.Sen.Th.042.12	SEN_SLP_2012_042
RP-2140.Sen.Th.042.14	SEN_SLP_2014_042
RP-2140.Sen.Th.046.10	SEN_SLP_2010_046
RP-2140.Sen.Th.047.06	SEN_SLP_2006_047
RP-2140.Sen.Th.048.10	SEN_SLP_2010_048
RP-2140.Sen.Th.051.14	SEN_SLP_2014_051
RP-2140.Sen.Th.052.06	SEN_SLP_2006_052
RP-2140.Sen.Th.052.12	SEN_SLP_2012_052
RP-2140.Sen.Th.053.06	SEN_SLP_2006_053
RP-2140.Sen.Th.055.06	SEN_SLP_2006_055
RP-2140.Sen.Th.056.06	SEN_SLP_2006_056
RP-2140.Sen.Th.057.06	SEN_SLP_2006_057
RP-2140.Sen.Th.057.08	SEN_SLP_2008_057
RP-2140.Sen.Th.058.10	SEN_SLP_2010_058
RP-2140.Sen.Th.060.06	SEN_SLP_2006_060
RP-2140.Sen.Th.060.10	SEN_SLP_2010_060
RP-2140.Sen.Th.062.10	SEN_SLP_2010_062
RP-2140.Sen.Th.062.14	SEN_SLP_2014_062
RP-2140.Sen.Th.063.06	SEN_SLP_2006_063
RP-2140.Sen.Th.064.10	SEN_SLP_2010_064
RP-2140.Sen.Th.065.06	SEN_SLP_2006_065
RP-2140.Sen.Th.065.12	SEN_SLP_2012_065
RP-2140.Sen.Th.066.10	SEN_SLP_2010_066
RP-2140.Sen.Th.068.06	SEN_SLP_2006_068
RP-2140.Sen.Th.069.10	SEN_SLP_2010_069
RP-2140.Sen.Th.069.12	SEN_SLP_2012_069
RP-2140.Sen.Th.070.08	SEN_SLP_2008_070
RP-2140.Sen.Th.070.12	SEN_SLP_2012_070
RP-2140.Sen.Th.071.14	SEN_SLP_2014_071
RP-2140.Sen.Th.073.12	SEN_SLP_2012_073
RP-2140.Sen.Th.074.08	SEN_SLP_2008_074
RP-2140.Sen.Th.074.10	SEN_SLP_2010_074
RP-2140.Sen.Th.074.12	SEN_SLP_2012_074
RP-2140.Sen.Th.075.12	SEN_SLP_2012_075
RP-2140.Sen.Th.077.08	SEN_SLP_2008_077
RP-2140.Sen.Th.079.06	SEN_SLP_2006_079
RP-2140.Sen.Th.079.10	SEN_SLP_2010_079
RP-2140.Sen.Th.079.14	SEN_SLP_2014_079
RP-2140.Sen.Th.080.06	SEN_SLP_2006_080
RP-2140.Sen.Th.080.10	SEN_SLP_2010_080
RP-2140.Sen.Th.080.12	SEN_SLP_2012_080
RP-2140.Sen.Th.083.06	SEN_SLP_2006_083
RP-2140.Sen.Th.084.14	SEN_SLP_2014_084
RP-2140.Sen.Th.085.06	SEN_SLP_2006_085
RP-2140.Sen.Th.086.06	SEN_SLP_2006_086
RP-2140.Sen.Th.086.12	SEN_SLP_2012_086
RP-2140.Sen.Th.086.14	SEN_SLP_2014_086
RP-2140.Sen.Th.088.12	SEN_SLP_2012_088
RP-2140.Sen.Th.089.14	SEN_SLP_2014_089
RP-2140.Sen.Th.091.14	SEN_SLP_2014_091
RP-2140.Sen.Th.092.08	SEN_SLP_2008_092
RP-2140.Sen.Th.093.06	SEN_SLP_2006_093
RP-2140.Sen.Th.093.14	SEN_SLP_2014_093
RP-2140.Sen.Th.095.06	SEN_SLP_2006_095
RP-2140.Sen.Th.095.14	SEN_SLP_2014_095
RP-2140.Sen.Th.096.08	SEN_SLP_2008_096
RP-2140.Sen.Th.097.14	SEN_SLP_2014_097
RP-2140.Sen.Th.098.06	SEN_SLP_2006_098
RP-2140.Sen.Th.098.14	SEN_SLP_2014_098
RP-2140.Sen.Th.099.06	SEN_SLP_2006_099
RP-2140.Sen.Th.102.14	SEN_SLP_2014_102
RP-2140.Sen.Th.103.12	SEN_SLP_2012_103
RP-2140.Sen.Th.104.10	SEN_SLP_2010_104
RP-2140.Sen.Th.104.14	SEN_SLP_2014_104
RP-2140.Sen.Th.105.14	SEN_SLP_2014_105
RP-2140.Sen.Th.106.08	SEN_SLP_2008_106
RP-2140.Sen.Th.106.14	SEN_SLP_2014_106
RP-2140.Sen.Th.108.06	SEN_SLP_2006_108
RP-2140.Sen.Th.108.12	SEN_SLP_2012_108
RP-2140.Sen.Th.109.12	SEN_SLP_2012_109
RP-2140.Sen.Th.109.14	SEN_SLP_2014_109
RP-2140.Sen.Th.110.12	SEN_SLP_2012_110
RP-2140.Sen.Th.110.14	SEN_SLP_2014_110
RP-2140.Sen.Th.112.10	SEN_SLP_2010_112
RP-2140.Sen.Th.112.12	SEN_SLP_2012_112
RP-2140.Sen.Th.112.14	SEN_SLP_2014_112
RP-2140.Sen.Th.117.08	SEN_SLP_2008_117
RP-2140.Sen.Th.117.12	SEN_SLP_2012_117
RP-2140.Sen.Th.119.14	SEN_SLP_2014_119
RP-2140.Sen.Th.120.06	SEN_SLP_2006_120
RP-2140.Sen.Th.120.10	SEN_SLP_2010_120
RP-2140.Sen.Th.121.08	SEN_SLP_2008_121
RP-2140.Sen.Th.121.14	SEN_SLP_2014_121
RP-2140.Sen.Th.125.14	SEN_SLP_2014_125
RP-2140.Sen.Th.126.06	SEN_SLP_2006_126
RP-2140.Sen.Th.128.08	SEN_SLP_2008_128
RP-2140.Sen.Th.129.14	SEN_SLP_2014_129
RP-2140.Sen.Th.130.14	SEN_SLP_2014_130
RP-2140.Sen.Th.131.08	SEN_SLP_2008_131
RP-2140.Sen.Th.131.14	SEN_SLP_2014_131
RP-2140.Sen.Th.133.10	SEN_SLP_2010_133
